Pillar,Category,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Already apply to Shopping campaign,Already apply to DNV campaign,Notes about UI availability,Notes about applicable level,Notes about campaign type coverage,Item,Owner GPM,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,WebUI Weightage,Recommendation,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,"Account free of any Search Campaigns that are set to ""Target & Bid"" an Audience list",Neha Mohan,"Health check - Account free of any Search Campaigns that are set to ""Target & Bid"" an Audience list",2.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,-,Not sure,Not sure,WebUI does not have the HC,,"Check Shopping, DNV",Account free of any Campaigns that are set to -100% against one of the three Device types,Neha Mohan,Health check - Account free of any Campaigns that are set to -100% against one of the three Device types,2.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,No Partial Negatives,Neha Mohan,Health check - No Partial Negatives,2.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,True negative keyword conflicts,Neha Mohan,Health check - True negative keyword conflicts,2.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,"Ad rotation type set ot ""rotate evenly""",Neha Mohan,"Health check - Ad rotation type set ot ""rotate evenly""",-,-,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,Have atleast 1 but less than 3 active ads,Neha Mohan,Health check - Have atleast 1 but less than 3 active ads,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Not sure,Not sure,This HC is only available for Pmax,,"Check Shopping, DNV",Campaign does not have active asset groups or ad groups with completed settings,Neha Mohan,Health check - Campaign does not have active asset groups or ad groups with completed settings,-,-,Not Included in UCM DMS,WebUI Partially Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Account has disapproved keywords,Neha Mohan,Health check - Account has disapproved keywords,-,-,Not Included in UCM DMS,WebUI Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Not sure,Not sure,Not sure,WebUI does not have the HC,,"Check Pmax, Shopping, DNV",Audience group is associated with active ad groups but without atleast 1000 users,Kamal Manchanda,Health check - Audience group is associated with active ad groups but without atleast 1000 users,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Failed privacy check,Kamal Manchanda,Health check - Failed privacy check,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Feature adoption ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the FA,,,Syndication,Neha Mohan,Feature adoption - Syndication,4.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Feature adoption ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the FA,,,Broad Match,Neha Mohan,Feature adoption - Broad Match,8.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Performance Max,Neha Mohan,Feature adoption - Performance Max,7.00%,-,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Feature adoption ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the FA,,,MSAN SWF,Neha Mohan,Feature adoption - MSAN SWF,4.00%,-,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Dynamic Search Ads,Neha Mohan,Feature adoption - Dynamic Search Ads,3.00%,-,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Feature adoption ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the FA,,,Phrase match,Neha Mohan,Feature adoption - Phrase match,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Feature adoption ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the FA,,,Exact match,Neha Mohan,Feature adoption - Exact match,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Custom combination,Kamal Manchanda,Feature adoption - Custom combination,-,-,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Adopt Performance Max Campaigns,Neha Mohan,Tactic - Adopt Performance Max Campaigns,-,APMX-I,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Adopt Dynamic Search Ads,Neha Mohan,Tactic - Adopt Dynamic Search Ads,-,DSA-I,Included in UCM DMS,WebUI Ready,,Adopt DSA,-,-,-
Targeting,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Not sure,Not sure,Not sure,WebUI does not have the Recommendation,,"Check Pmax, Shopping, DNV",Targeting Optimization (Ad schedule & device targeting settings),Kamal Manchanda,Tactic - Targeting Optimization (Ad schedule & device targeting settings),-,TAO-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,,Search partners website optimization,Neha Mohan,Tactic - Search partners website optimization,-,SYNO-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,Can apply to DNV campaign,Already apply to Search campaign,-,-,Not sure,,,Check DNV,Fix disapproved ads and keywords,Neha Mohan,Tactic - Fix disapproved ads and keywords,-,FDA-I,Included in UCM DMS,WebUI Ready,,NRT - Repair Ads and KWs,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Adopt Broad Match,Neha Mohan,Tactic - Adopt Broad Match,-,BMA-I,Included in UCM DMS,WebUI Ready,,Adopt BM,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Bridge Syndication gap,Neha Mohan,Tactic - Bridge Syndication gap,-,SYN-I,Included in UCM DMS,WebUI Ready,,Syndication winback,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,,Remove O&O website exclusions-SWF,Neha Mohan,Tactic - Remove O&O website exclusions-SWF,-,RWS-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Cross border expansion,Neha Mohan,Tactic - Cross border expansion,-,XBE-I,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Add keywords (ads & landing pages),Neha Mohan,Tactic - Add keywords (ads & landing pages),-,IN1-I,Included in UCM DMS,WebUI Ready,,Add KWs from LP and Ads,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Add keywords (emerging and rising queries),Neha Mohan,Tactic - Add keywords (emerging and rising queries),-,KWR-I,Included in UCM DMS,WebUI Ready,,Add KWs from rising query,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,,Add keywords (negatives),Neha Mohan,Tactic - Add keywords (negatives),-,CT4-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Targeting,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,,Adopt Audience ads for search campaigns,Anil Biradar,Tactic - Adopt Audience ads for search campaigns,-,AA-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,80% of Keywords showing in the mainline of search results,Neha Mohan,Health check - 80% of Keywords showing in the mainline of search results,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Budget & Bidding,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Already apply to Shopping campaign,Already apply to DNV campaign,This HC is only available for Pmax,,"Expand to Search, Shopping, DNV",Campaign capped by budget in last 14 days,Neha Mohan,Health check - Campaign capped by budget in last 14 days,4.00%,,Included in UCM DMS,WebUI Partially Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Budget & Bidding,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Not sure,Not sure,Not sure,WebUI does not have the HC,,"Check Pmax, Shopping, DNV",Campaign limited by ad schedule,Neha Mohan,Health check - Campaign limited by ad schedule,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Impression share of the top 20% keywords is at 100%,Neha Mohan,Health check - Impression share of the top 20% keywords is at 100%,4.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,No Impressions Lost to Budgets (>1%),Neha Mohan,Health check - No Impressions Lost to Budgets (>1%),5.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Impression Share Lost to Rank less than 30%,Neha Mohan,Health check - Impression Share Lost to Rank less than 30%,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,payment errors,Kamal Manchanda,Health check - payment errors,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Don't have active IO,Kamal Manchanda,Health check - Don't have active IO,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO balance less than 5%,Kamal Manchanda,Health check - IO balance less than 5%,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO balance less than 15%,Kamal Manchanda,Health check - IO balance less than 15%,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO balance less than 25%,Kamal Manchanda,Health check - IO balance less than 25%,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO budget depleting in 5 days,Kamal Manchanda,Health check - IO budget depleting in 5 days,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO budget depleting in 7 days,Kamal Manchanda,Health check - IO budget depleting in 7 days,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
