Pillar,Category,Item,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,Notes,WebUI Weightage,Recommendation,Campaign,Account,Manager Account,Campaign creation,Existing campaign
Targeting,Health check ,"Account free of any Search Campaigns that are set to ""Target & Bid"" an Audience list","Health check - Account free of any Search Campaigns that are set to ""Target & Bid"" an Audience list",2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,Account free of any Campaigns that are set to -100% against one of the three Device types,Health check - Account free of any Campaigns that are set to -100% against one of the three Device types,2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,No Partial Negatives,Health check - No Partial Negatives,2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Health check ,True negative keyword conflicts,Health check - True negative keyword conflicts,2.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Health check ,"Ad rotation type set ot ""rotate evenly""","Health check - Ad rotation type set ot ""rotate evenly""",-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,Have atleast 1 but less than 3 active ads,Health check - Have atleast 1 but less than 3 active ads,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,Campaign does not have active asset groups or ad groups with completed settings,Health check - Campaign does not have active asset groups or ad groups with completed settings,-,,Not Included in UCM DMS,WebUI Partially Ready,This HC is only available for Pmax,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,Account has disapproved keywords,Health check - Account has disapproved keywords,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Health check ,Audience group is associated with active ad groups but without atleast 1000 users,Health check - Audience group is associated with active ad groups but without atleast 1000 users,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Health check ,Failed privacy check,Health check - Failed privacy check,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Feature adoption ,Syndication,Feature adoption - Syndication,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Feature adoption ,Broad Match,Feature adoption - Broad Match,8.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Feature adoption ,Performance Max,Feature adoption - Performance Max,7.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,-
Targeting,Feature adoption ,MSAN SWF,Feature adoption - MSAN SWF,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Feature adoption ,Dynamic Search Ads,Feature adoption - Dynamic Search Ads,3.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,-
Targeting,Feature adoption ,Phrase match,Feature adoption - Phrase match,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Feature adoption ,Exact match,Feature adoption - Exact match,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Feature adoption ,Custom combination,Feature adoption - Custom combination,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Adopt Performance Max Campaigns,Tactic - Adopt Performance Max Campaigns,-,APMX-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,-
Targeting,Tactic ,Adopt Dynamic Search Ads,Tactic - Adopt Dynamic Search Ads,-,DSA-I,Included in UCM DMS,WebUI Ready,,,Adopt DSA,-,Account,Manager Account,-,-
